fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Feb,02,ANDHRA PRADESH,0209,NELLORE,10129642,196.060667802651,50,2078,17162.546129377,13027,3,39799,10129584,2879482,128692,501717,23600,1917.89872,38940.5748854075,202031,310088,252822,437319,7611,340134,596765,52826,19860.1300360305,6249895,30,46.68,68.7,100.98,NA
2022-2023,Feb,02,ANDHRA PRADESH,0212,ANANTAPUR,10194963,207.598578408809,51,4215,20215.361954901,18296,0,44604,10194838,1971250,91983,395210,16733,2683.15136,44062.852073982,197463,355023,249375,465429,4698,316160,642957,62900,21164.338759081,5722437,55,42.4,73.46,100.4,NA
2022-2023,Feb,02,ANDHRA PRADESH,0219,BAPATLA,6535229,199.154437641129,39,2192,6012.824043114,12374,1,30500,6535229,2364966,135577,228830,13448,872.48925,19900.511856624,164367,286964,201553,373599,2548,253695,461638,42874,13015.19856351,3559840,22,67.2,77.23,106.44,NA
2022-2023,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,3046418,216.036600597159,37,1805,5831.137376566,41,10,22705,3046418,1224034,71560,56183,2838,422.18467,12834.699933746,80794,111582,118649,190908,348,180774,517841,22746,6581.37788717996,1672625,45,59.32,79.84,101.09,NA
2022-2023,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2577897,223.387340473175,29,1223,7228.413026982,167,2,31109,2791380,804848,60848,18494,1441,294.85766,13758.8602314821,95856,144132,126487,218134,97,183840,605827,31276,6235.58954450011,1517839,31,77.41,81.65,102.62,NA
2022-2023,July,02,ANDHRA PRADESH,0210,CHITTOOR,4639415,232.44022150143,40,1635,9985.884448894,406,28,73480,4639338,1479139,102906,144001,11496,565.62323,21335.195202294,115206,184008,193966,358871,838,253203,840896,73886,10783.6875234,2809076,68,59.67,72.5,100.28,NA
2022-2023,May,02,ANDHRA PRADESH,0201,SRIKAKULAM,8750108,115.083337462807,30,6127,5468.627315263,17,34,52956,8750108,841725,60711,521915,38373,229.74142,15768.2850532631,283151,403255,375893,661563,157,423233,1024669,52973,10069.9163180001,6088262,52,44.42,91.74,100.54,NA
2022-2023,May,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,686906,144.305678015719,32,144,517.39541008,0,2,3471,686636,59219,4240,4317,456,139.98599,1648.23613538001,21392,29633,30049,48025,8,37451,83816,3471,990.85473530001,500246,29,38.76,98.55,100.13,NA
2022-2023,May,02,ANDHRA PRADESH,0204,EAST GODAVARI,1867435,160.031277570571,26,1620,3298.122412452,22,12,20438,1867435,761840,71274,33665,2809,162.28923,6448.891730752,69902,94256,117729,189503,70,179461,517407,20460,2988.4800883,1027974,46,63.51,85.65,101.8,NA
2022-2023,May,02,ANDHRA PRADESH,0205,WEST GODAVARI,1602476,164.323410487312,20,1078,3504.16759734,39,10,28149,1731559,501172,60635,11334,1434,108.44459,6457.96899073999,85081,126253,125724,216917,6,182485,603894,28188,2845.35680339999,955110,32,87.15,93.35,103.94,NA
2022-2023,May,02,ANDHRA PRADESH,0212,ANANTAPUR,5422822,165.294385197838,34,3256,5741.449002008,45,0,51831,5422816,1098553,91680,200636,16611,390.42599,15095.485359618,155623,269502,247632,462485,48,312179,1092780,51876,8963.61036760999,3040780,50,48.52,93.27,100.22,NA
2022-2023,May,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,4389913,184.499407588463,29,1838,3828.676995749,49,4,57116,4389901,106028,9676,3964790,381739,94.5475,12022.565834469,149429,266096,212250,417841,232,234943,635389,57165,8099.34133872001,2294428,74,78.04,92.48,101.48,NA
2022-2023,May,02,ANDHRA PRADESH,0217,ELURU,6722449,136.167305179768,30,2951,3527.425074542,256,16,38303,6593363,2520408,197310,640882,49167,115.63158,12621.0613723619,214234,354180,296474,548819,82,347047,1047468,38559,8978.00471781993,3739478,37,69.32,95.59,106.07,NA
2022-2023,May,02,ANDHRA PRADESH,0218,NTR,3718696,147.868872856296,32,1925,2243.47057114,227,12,29170,3718682,1498883,113387,257513,20660,42.63652,7784.88024964997,113567,190835,153938,285920,9,188998,619868,29397,5498.77315850997,2196958,32,85.86,90.07,103.22,NA
2022-2023,May,02,ANDHRA PRADESH,0219,BAPATLA,3422066,126.93494493385,25,1784,1808.834570402,124,13,34396,3422066,1290091,135133,113124,13267,58.83959,6211.47175310199,131871,227932,199878,371118,51,250405,672880,34520,4343.79759269999,1832678,15,82.16,97,112.31,NA
2022-2023,May,02,ANDHRA PRADESH,0220,PALNADU,4110906,99.5776599778729,27,1625,4117.519221739,174,36,34756,4110756,998179,113482,335003,35086,46.7131,8257.62695393901,147830,256137,237500,429977,39,297825,945502,34930,4093.39463220001,2204810,14,86.84,98.45,114.15,NA
2022-2023,May,02,ANDHRA PRADESH,0226,KAKINADA,3130287,166.716568851352,24,3056,3619.175942099,85,15,26347,3130287,955010,91821,68896,8179,80.40757,8918.29059369894,129008,182670,200418,337154,18,267790,737400,26432,5218.70708159993,1661846,41,63.76,94.33,103.47,NA
2022-2023,March,02,ANDHRA PRADESH,0202,VIZIANAGARAM,18683000,208.122950743931,62,8256,11461.08023419,12806,3,55134,19534484,2306022,74243,498440,17643,2375.64396,54492.468707591,311719,499040,343885,631165,14109,381117,713231,67940,40655.744513401,13758658,56,20.62,75.11,100.18,NA
2022-2023,March,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1519000,204.56272811502,57,203,1967.688113767,722,0,3944,1566508,129520,4259,9543,466,787.10837,5959.28798470703,27283,39654,30378,48474,1886,38083,60558,4666,3204.49150094003,1167380,44,33.26,77.14,100.13,NA
2022-2023,March,02,ANDHRA PRADESH,0208,PRAKASAM,16050000,195.617510702863,51,4745,24136.480299048,19483,19,40229,16617522,4252190,201802,417909,20260,2895.04599,59538.3091659485,323071,572703,383484,723819,9705,441922,832618,59712,32506.7828769006,9459859,44,24.48,71.57,103.6,NA
2022-2023,March,02,ANDHRA PRADESH,0212,ANANTAPUR,10452000,215.250589988833,53,4314,20578.64263395,20465,0,42777,10830656,2090274,92024,417590,16735,2969.4069,46861.100473611,201190,362976,249536,465696,6770,316858,616600,63242,23313.050939661,6085306,55,41.33,71.07,100.37,NA
2022-2023,March,02,ANDHRA PRADESH,0218,NTR,6979000,220.557090500483,51,2493,6578.980916306,15420,10,23591,7245453,2919804,114637,508673,20969,661.91696,23221.258206686,141158,245738,156878,290413,1186,194776,358651,39011,15980.36033038,4285289,42,61.85,60.83,101.68,NA
2022-2023,March,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,7794000,214.375916428808,52,3579,13448.77817537,12243,0,37653,7970756,1221980,63930,513495,23417,1789.41026,32325.5696566742,151518,269017,214985,404157,10319,278319,537682,49896,17087.3812213042,4351461,61,42.55,77.31,101.2,NA
2022-2023,Jan,02,ANDHRA PRADESH,0205,WEST GODAVARI,3195237,226.381556939937,33,1350,7758.599223827,11759,2,28866,3474495,976888,61198,24070,1466,669.70218,16293.9172806273,103944,158468,128010,220682,265,186884,501768,40625,7865.61587680026,1896685,46,62.06,52.64,102.55,NA
2022-2023,Jan,02,ANDHRA PRADESH,0206,KRISHNA,5731942,235.141357811723,41,2200,7582.34835615,13853,0,46118,5731942,2140748,113535,83614,4523,1148.81555,22209.3301539305,139430,246216,163738,304971,289,212718,515632,59971,13478.1662477805,3118108,34,71.53,63.24,103.75,NA
2022-2023,Jan,02,ANDHRA PRADESH,0208,PRAKASAM,14485173,196.766728472419,46,4518,21603.51811744,11961,20,46753,14485114,3742905,201612,360343,20238,2415.57103,52520.9740807404,314332,554597,382961,722956,2941,440280,921285,58714,28501.8849333004,8231001,44,24.93,74.66,104.1,NA
2022-2023,Jan,02,ANDHRA PRADESH,0219,BAPATLA,6048383,201.471524458851,37,2142,5471.959038731,8960,1,33462,6048383,2211780,135500,207885,13426,780.21927,18437.947743941,161115,281138,201292,373225,1499,252957,552805,42422,12185.76943521,3285271,22,68.94,78.84,107,NA
2022-2023,Aug,02,ANDHRA PRADESH,0205,WEST GODAVARI,2614541,222.705719217512,29,1234,7254.362605782,195,2,31821,2843069,821541,60900,18976,1446,340.51416,13926.5540300821,96595,145489,126769,218614,108,184275,606413,32016,6331.67726430012,1544898,32,75.13,78.24,102.87,NA
2022-2023,Aug,02,ANDHRA PRADESH,0220,PALNADU,5968216,179.661639772173,34,1914,8059.294669018,304,35,37416,5968012,1474831,113815,451726,35209,310.3774,19091.9002900181,173417,303683,238844,431913,429,300122,931351,37720,10722.2282210001,3218342,15,79.27,91.78,110.23,NA
2022-2023,Aug,02,ANDHRA PRADESH,0226,KAKINADA,4769442,228.426759263671,32,3390,7117.332626007,611,15,28949,4769442,1425055,91904,109676,8196,286.08533,18298.0997515674,144850,208995,200965,337982,214,268922,733051,29560,10894.6817955604,2441026,42,59.74,84.49,102.79,NA
2022-2023,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,284297,105.889359658931,16,111,512.23848938,0,2,3238,284286,23562,4234,1476,456,40.0478,853.31491437999,17524,22744,30003,47966,0,37389,83749,3238,301.02862499999,211936,26,45.77,99.39,100,NA
2022-2023,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,216702,126.566467550599,8,322,3503.60877734,8,26,23093,230636,69435,60180,1736,1419,10.30651,3805.82312544,27323,38019,124522,215053,0,180900,603656,23101,291.907838099998,124609,36,83.09,72.34,107.95,NA
2022-2023,April,02,ANDHRA PRADESH,0209,NELLORE,1193262,114.368840344572,13,844,8677.905913138,10,24,39301,1193251,369175,127107,62321,22893,211.84708,10254.460324238,85547,117486,247697,429884,0,331269,1063394,39311,1364.70733110001,740607,27,59.29,75.54,102.43,NA
2022-2023,April,02,ANDHRA PRADESH,0219,BAPATLA,852190,106.583971931143,16,807,1769.531024442,4,21,27803,852190,320699,134803,32102,13172,6.00127,2683.83024484201,52994,85666,198739,369341,1,248809,671926,27807,908.297950400007,449834,18,81.61,91.38,103.04,NA
2022-2023,April,02,ANDHRA PRADESH,0224,TIRUPATI,1102345,108.595332303399,14,1066,4311.286099724,197,39,38308,1102336,429582,151124,90590,29946,14.51208,5522.883622024,73948,103597,216944,387262,0,270825,812525,38505,1197.0854423,704030,54,70.54,85.45,106.46,NA
2022-2023,Nov,02,ANDHRA PRADESH,0201,SRIKAKULAM,14372969,175.949097744938,45,6727,13439.722294768,6512,28,68025,14372969,1334746,60874,828688,38506,1808.92587,40537.7574394277,313582,460651,378312,664875,3918,427063,1003867,74537,25289.1092746597,10109634,63,38.52,75.13,100.68,NA
2022-2023,Nov,02,ANDHRA PRADESH,0209,NELLORE,8334872,203.00899975069,44,1912,14709.794034032,11110,3,39612,8334849,2395332,128302,409303,23453,1419.56418,33049.8517996624,186774,283904,251541,435492,3686,337383,1009362,50722,16920.4935856304,5111893,29,47.84,70.31,101.21,NA
2022-2023,Nov,02,ANDHRA PRADESH,0223,ANNAMAYYA,6577222,226.745048683629,49,1419,9378.045681702,9690,41,55076,6576934,1383704,66034,274008,12770,823.14551,25114.0633918922,132759,203843,188966,326517,2908,247286,747915,64766,14912.8722001902,3843075,65,49.63,69.17,100.15,NA
2022-2023,Nov,02,ANDHRA PRADESH,0226,KAKINADA,5250816,230.181218052143,35,3481,7154.672638007,6000,14,27465,5250781,1536056,91957,120910,8199,554.42013,19795.4044310575,149789,217426,201516,338822,524,270141,705505,33465,12086.3116630505,2678756,48,51.87,67.73,102.72,NA
2022-2023,Dec,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1135984,199.620145865262,45,172,1659.48079278,471,0,4099,1135500,92576,4247,7064,460,567.51186,4493.67940908005,24898,35482,30168,48194,289,37750,81130,4570,2266.68675630005,835847,44,34.85,76.88,100.18,NA
2022-2023,Dec,02,ANDHRA PRADESH,0204,EAST GODAVARI,4249083,220.038208632788,46,1976,6407.933748868,3885,9,25165,4249083,1642624,71963,78752,2871,868.90023,16626.4400953883,91315,128315,120023,193072,1814,183244,497664,29050,9349.60611652033,2295219,54,52.31,60.84,100.83,NA
2022-2023,Dec,02,ANDHRA PRADESH,0209,NELLORE,8505595,203.448316738287,45,1924,16025.623084048,11407,3,40249,8505568,2440041,128355,422088,23483,1584.24764,34914.3056490784,188415,286669,251757,435788,3923,337956,981269,51656,17304.4349250304,5215114,30,47.07,68.6,101.2,NA
2022-2023,Dec,02,ANDHRA PRADESH,0216,KONASEEMA,4701786,244.708412722417,38,2792,5797.401658697,9768,1,19672,4701780,2306305,115345,38626,2145,599.30714,17902.3600063971,120945,174235,150146,246083,1209,220814,486754,29440,11505.6512077001,2974081,36,68.75,70.09,101.59,NA
2022-2023,Oct,02,ANDHRA PRADESH,0201,SRIKAKULAM,14051440,174.592199396359,45,6700,13439.722294768,5293,28,67947,14051440,1300273,60870,793382,38494,1494.53411,39466.9745476278,312181,458052,378134,664589,3331,426666,1008514,73240,24532.7181428598,9876267,62,38.98,79.61,100.7,NA
2022-2023,Oct,02,ANDHRA PRADESH,0205,WEST GODAVARI,2805867,225.070465512583,30,1286,7294.257011282,5770,2,31116,3064407,876228,61134,20732,1464,506.26543,14697.5975413822,99836,151166,127762,220274,145,186024,607800,36886,6897.07510010019,1667970,41,67.25,64.41,102.68,NA
2022-2023,Oct,02,ANDHRA PRADESH,0206,KRISHNA,5057540,238.073798530123,37,2118,7071.0405893,11425,0,43855,5057540,1907926,113355,70780,4510,690.02293,19801.7411094804,134359,236806,163024,303881,153,211497,624567,55280,12040.6775901804,2723668,33,84.07,77.48,104.25,NA
2022-2023,Oct,02,ANDHRA PRADESH,0208,PRAKASAM,13834555,197.994198819288,44,4428,19248.121970329,6199,19,50565,13834513,3563289,201486,341428,20195,1648.45078,48288.1059252292,310047,546288,382648,722432,2016,439489,1125102,56764,27391.5331749003,7849425,43,25.09,80.79,104.29,NA
2022-2023,Oct,02,ANDHRA PRADESH,0211,Y.S.R,5801202,214.819319185035,42,2141,8345.533759491,5163,15,51662,5801005,1199059,79288,87642,5227,1413.7242,22220.9374063809,136207,217899,190963,354278,1499,257949,756572,56825,12461.6794468899,3745730,58,47.14,73.22,100.06,NA
2022-2023,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4439914,243.585776504828,37,2761,5599.446654697,7865,1,19938,4439908,2193907,115282,36152,2143,440.16164,16854.592672597,119153,171442,150024,245909,735,220240,522125,27803,10814.9843779,2811156,34,72.23,74.56,101.68,NA
2022-2023,Oct,02,ANDHRA PRADESH,0218,NTR,5301360,213.281174249232,41,2178,4954.700110315,11795,12,24377,5301326,2127478,113799,359500,20749,319.85062,16581.2810738948,127039,218287,154912,287426,133,190522,611746,36172,11306.7303435798,3147347,40,76.68,76.32,102.19,NA
2022-2023,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,13747387,172.566849199487,44,6666,13439.722294768,1908,29,68315,13747387,1272493,60861,776579,38493,1494.53411,38657.6889979278,309676,453916,378043,664467,3067,426475,1013117,70223,23723.4325931598,9662668,61,38.05,83.47,100.72,NA
2022-2023,Sep,02,ANDHRA PRADESH,0207,GUNTUR,2236579,207.360933328445,34,617,2200.682981583,3945,2,20169,2236576,1057085,67737,60776,4191,490.75743,7329.225279783,65075,109792,80894,143549,105,130862,425242,24114,4637.7848682,1280752,20,76.8,76.28,108.97,NA
2022-2023,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,7999103,214.362219250104,44,3765,15732.906195608,2069,0,57760,7999057,1570131,91782,295782,16679,1664.40375,34544.2660498888,180499,321469,248464,463886,1559,313645,1062409,59829,17146.9561042808,4478296,54,46.4,84.85,100.29,NA
2022-2023,Sep,02,ANDHRA PRADESH,0217,ELURU,10867365,198.305743980751,42,3370,8348.776701303,5577,9,50253,10620932,3904236,198544,986301,49665,573.74047,29984.4353915926,248671,419671,300215,555049,1079,352487,1043511,55830,21061.9182202896,6054882,53,65.6,82.41,104.28,NA
2022-2023,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,7625456,197.534022997726,46,4148,7859.309557327,4116,23,47197,7625452,935974,45673,2779638,132631,566.74474,23488.9164046875,163049,281947,189510,368271,2550,207482,523008,51313,15062.8621073605,4470932,72,43.49,83.38,101.3,NA
2022-2023,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,2944097,206.08643863908,36,1797,3511.929244602,37,11,22169,2944097,1188543,71489,54820,2832,239.46386,9818.777761982,80239,110656,118408,190515,275,180325,517983,22206,6067.38465738,1618437,44,61.61,84.79,101.13,NA
2022-2023,June,02,ANDHRA PRADESH,0205,WEST GODAVARI,2520172,215.78543091205,28,1220,3734.609258072,55,6,30802,2723456,785134,60799,17932,1441,180.79692,9792.22744337208,94909,142636,126316,217844,80,183519,605309,30857,5876.82126530008,1480705,31,81.33,86.56,102.69,NA
2022-2023,June,02,ANDHRA PRADESH,0207,GUNTUR,2134049,198.57389640617,33,611,1002.965675099,54,10,22038,2134046,1016900,67667,56641,4182,143.14019,5383.76415839901,63533,107316,80680,143218,84,130450,425999,22092,4237.65829330001,1216316,14,89.97,91.81,109.31,NA
2022-2023,June,02,ANDHRA PRADESH,0219,BAPATLA,5080978,186.958998568781,33,2030,1970.888483567,321,10,36577,5080978,1908504,135252,165121,13327,140.00923,11610.2432998671,151057,263609,200450,371977,365,251348,672531,36898,9499.3455863001,2737387,14,79.97,96.17,108.49,NA
2022-2023,June,02,ANDHRA PRADESH,0223,ANNAMAYYA,4746670,206.745814421726,42,1230,4273.753906582,570,42,48005,4746520,1044772,65700,194634,12654,173.15325,14260.1385872721,112765,170545,186665,323156,957,243313,760025,48575,9813.2314306901,2756601,55,52.33,88.67,100.2,NA
2022-2023,June,02,ANDHRA PRADESH,0226,KAKINADA,4549763,217.207300060691,31,3354,3817.049812869,205,15,27732,4549763,1370874,91868,107045,8191,142.88397,13842.3511543293,142885,205686,200656,337510,155,268276,735613,27937,9882.41737146031,2341567,40,62.7,91.59,102.81,NA
2022-2023,March,02,ANDHRA PRADESH,0201,SRIKAKULAM,19236000,189.713512624464,60,7177,17578.310934276,20486,20,56936,20093934,1908827,60982,1244833,38601,2776.28216,58475.5011101175,331312,498159,379223,666187,49915,430295,759197,77422,38120.9080158416,14458467,62,34.05,71.38,100.46,NA
2022-2023,March,02,ANDHRA PRADESH,0205,WEST GODAVARI,3470000,230.463401113578,36,1420,9063.698638621,13427,2,28313,3960594,1111404,61269,27511,1473,779.70725,18971.1255253213,107323,164365,128260,221065,601,188466,321249,41740,9127.71963670031,2161228,47,62.04,51.73,102.25,NA
2022-2023,March,02,ANDHRA PRADESH,0207,GUNTUR,2904000,213.551017920839,42,668,3868.023170422,10966,1,16647,3012415,1396704,67924,83527,4208,909.36919,11210.435256922,71089,120422,81441,144360,1619,132701,231903,27613,6433.04289650003,1755037,28,70.43,66.72,106.58,NA
2022-2023,March,02,ANDHRA PRADESH,0211,Y.S.R,7011000,220.447126878952,49,2312,11992.595320674,18487,14,43198,7249949,1521021,79414,114327,5248,2546.32726,30521.2268513633,146165,236016,191524,355093,9683,260489,501136,61685,15982.3042706893,4700220,60,41.37,57.45,100.04,NA
2022-2023,March,02,ANDHRA PRADESH,0216,KONASEEMA,5264000,245.772576389816,43,2868,8472.835201925,11825,1,19852,5446963,2662290,115494,44623,2149,899.34545,22759.321952025,124754,180489,150417,246475,3024,222322,350551,31677,13387.1413001,3471388,39,67.15,67.58,101.46,NA
2022-2023,March,02,ANDHRA PRADESH,0224,TIRUPATI,9710000,212.626726736364,56,2776,11345.664963052,19476,22,32202,10090673,3930670,152587,756235,30594,1496.46254,34297.5952086221,179389,282289,220592,392656,30378,277358,493429,51678,21455.4677055701,6391632,54,46.11,74.38,103.04,NA
2022-2023,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,4991229,215.449884611393,51,2060,7432.731153345,4781,5,25210,4991229,1914103,72218,92155,2887,1021.7139,19208.0421745354,96570,136190,120679,194008,3113,184588,299444,29991,10753.5971211904,2711744,54,52.58,61.31,101.12,NA
2022-2023,Feb,02,ANDHRA PRADESH,0217,ELURU,13271466,202.226193941892,49,3618,9919.18315417,14417,5,45244,12977356,4724008,199386,1220250,50417,1104.5226,37267.3188672598,264754,449385,302921,559582,3774,357663,663037,59661,26243.6131130898,7469235,55,56.77,68.01,103.56,NA
2022-2023,Feb,02,ANDHRA PRADESH,0218,NTR,6708496,212.172990902054,48,2442,6251.617816806,14628,11,23750,6708437,2696461,114440,467137,20916,583.13096,21068.240202486,137965,239688,156393,289681,593,192988,379223,38378,14233.49142568,3961568,42,61.8,60.35,101.83,NA
2022-2023,Feb,02,ANDHRA PRADESH,0223,ANNAMAYYA,7853421,225.314392835767,53,1551,11872.129585791,17808,40,54223,7853091,1637419,66309,333784,12860,1214.78249,30781.0563812812,145860,226090,190630,328825,5014,250587,446061,72031,17694.1443054902,4620473,68,50.97,64.75,100.11,NA
2022-2023,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,12820437,197.36544124198,44,7595,8876.594846544,333,20,52747,12820437,1485099,74044,323298,17573,636.58951,34816.2964107441,289165,444641,342143,628570,817,376734,923274,53080,25303.1120542001,8903068,47,21.34,92.56,100.28,NA
2022-2023,July,02,ANDHRA PRADESH,0212,ANANTAPUR,7307276,213.357568553438,42,3555,15527.487234558,376,0,55776,7307264,1450252,91748,268413,16654,887.7877,32005.8757327387,170383,299664,248186,463420,838,313165,1087371,56152,15590.6007981807,4101404,51,45.99,88.34,100.15,NA
2022-2023,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5468692,205.720369977957,42,3045,10665.716029754,505,1,41445,5468682,861214,63672,355686,23319,416.25846,22332.167333072,127706,224268,213702,401989,1561,273866,966793,41950,11250.192843318,2972896,55,39.21,89.72,101.8,NA
2022-2023,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,5334230,219.02046414035,45,1273,9215.339800903,732,42,52041,5334031,1163569,65812,218679,12684,314.46967,21212.4289244931,118265,179653,187349,324134,1497,244499,761168,52773,11682.6194535901,3112192,58,51.38,85.68,100.19,NA
2022-2023,July,02,ANDHRA PRADESH,0226,KAKINADA,4672656,228.159879521634,32,3370,7027.953224107,279,15,28297,4672656,1405448,91887,108944,8192,236.80564,17925.8851641674,143884,207321,200789,337716,193,268571,734459,28576,10661.1263000604,2394545,41,60.72,87.24,102.83,NA
2022-2023,May,02,ANDHRA PRADESH,0209,NELLORE,3577809,148.425099462881,25,1403,8681.51729629,37,8,42600,3577797,1099185,127324,177830,22995,389.47094,14381.33699212,138055,201976,248465,431004,37,332418,1062765,42637,5310.34875582997,2177289,27,48.82,68.83,101.51,NA
2022-2023,May,02,ANDHRA PRADESH,0213,KURNOOL,4674546,170.508099824026,30,2006,2590.858096997,48,46,35504,4674546,1008939,101392,42370,6052,283.07297,10844.410626997,155001,272737,247294,485041,87,308057,987352,35552,7970.47956000002,2571673,41,53.56,94.34,100.23,NA
2022-2023,May,02,ANDHRA PRADESH,0216,KONASEEMA,2434407,165.90037649508,23,2431,2751.929908598,149,1,22311,2434401,1264060,114917,19341,2124,92.03992,6882.65025299798,102260,143894,149305,244844,1,218653,535098,22460,4038.68042439998,1572235,27,89.16,94.67,102.71,NA
2022-2023,April,02,ANDHRA PRADESH,0208,PRAKASAM,3361568,95.7241526022209,17,2683,4375.906551353,68,19,42467,3361550,921509,200385,79257,20032,51.62474,7645.34654315296,189314,315092,379568,717563,1,434593,1169679,42535,3217.81525179996,1882416,37,34.86,91.14,104.01,NA
2022-2023,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,1503304,124.639624959423,18,1795,4286.763275401,13,5,37977,1503304,237650,63476,92029,23182,29.02181,6189.497553001,79862,132938,212699,400295,0,272122,975234,37990,1873.7124676,817721,56,52.71,92.72,100.14,NA
2022-2023,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1057942,195.095176546024,44,164,1560.05536768,255,0,4025,1057458,85748,4247,6737,459,388.88953,4011.99444968005,23999,34098,30141,48155,188,37651,84063,4280,2063.04955200005,774590,40,33.16,88.41,100.19,NA
2022-2023,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,3374884,214.100218243946,39,1868,5883.266044916,194,10,25776,3374884,1335536,71759,62153,2851,685.39829,13794.298344396,84749,118129,119429,192145,540,182013,518255,25970,7225.63400948001,1840834,51,54.32,68.95,101.03,NA
2022-2023,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,2698817,223.744836399125,29,1250,7291.801021282,1445,2,33232,2945247,847422,61023,19869,1455,389.84693,14271.4860329821,98312,148467,127307,219504,125,185201,607796,34677,6589.83808170014,1600352,38,68.97,69.64,102.77,NA
2022-2023,Sep,02,ANDHRA PRADESH,0206,KRISHNA,4895194,236.926546491934,36,2098,7071.0405893,3365,0,49961,4895194,1855743,113293,66291,4495,690.02293,19359.0776075804,132564,233603,162813,303560,146,211162,625585,53326,11598.0140882804,2621300,31,86.73,82.96,104.41,NA
2022-2023,Sep,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7627096,229.945977747171,42,2618,14897.096922576,2603,2,59887,7627075,171230,9694,6884234,384685,500.62124,32935.870344836,177969,324401,214226,421109,3214,238245,627752,62490,17538.15218226,3992791,75,71.05,87.59,101.72,NA
2022-2023,Sep,02,ANDHRA PRADESH,0220,PALNADU,6030007,182.622117550851,34,1917,8064.192989118,3076,35,35426,6029782,1494784,113846,456688,35236,552.6452,19628.553761218,174291,305274,238981,432112,448,300362,911015,38502,11011.7155721,3252522,17,76.6,88.08,110.09,NA
2022-2023,Sep,02,ANDHRA PRADESH,0223,ANNAMAYYA,6075146,223.643831500961,47,1366,9378.045681702,4374,41,54864,6074901,1298524,65955,252952,12743,635.42772,23599.6147579922,127238,194332,188467,325776,2417,246384,757941,59238,13586.1413562902,3548757,62,49.5,76,100.17,NA
2022-2023,Aug,02,ANDHRA PRADESH,0201,SRIKAKULAM,13529934,171.712303800298,44,6607,13261.301986068,216,29,60707,13529934,1253977,60807,765033,38475,952.53361,37446.3969701278,305315,446271,377085,663254,2774,425078,1021021,60923,23232.5613740598,9516566,55,38.22,86.58,100.74,NA
2022-2023,Aug,02,ANDHRA PRADESH,0206,KRISHNA,4782958,235.135104077442,36,2082,6980.66535375,1009,0,49920,4782958,1815892,113231,63204,4491,451.36692,18678.4455450304,130331,229898,162623,303244,142,210880,626554,50929,11246.4132712804,2550927,28,89.37,87.3,104.53,NA
2022-2023,Aug,02,ANDHRA PRADESH,0209,NELLORE,6673305,193.028991726868,38,1741,14676.229570032,1584,4,44715,6673288,1948815,127843,320047,23186,846.37565,28403.9857614621,171358,258787,250066,433372,1411,334761,1055152,46299,12881.3805414301,4062071,26,46.63,70.11,101.57,NA
2022-2023,Aug,02,ANDHRA PRADESH,0215,ANAKAPALLI,7697131,189.016930129413,42,3409,8823.1537427,597,28,26077,7697116,617783,33497,289597,16185,350.20384,23722.2099543999,181204,267951,232001,380233,642,285575,646504,26674,14548.8523716999,5284785,32,27.71,85.96,100.1,NA
