fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,7595001,188.218798962894,42,3399,8712.835926,280,28,25641,7594986,608852,33485,284284,16163,307.43086,23315.4582165999,180548,266692,231806,379976,553,285302,647913,25921,14295.1914305999,5215827,30,27.43,86.81,100.1,NA
2022-2023,July,02,ANDHRA PRADESH,0218,NTR,5021710,207.831011720362,40,2130,4933.26715159,597,12,31885,5021686,2005641,113572,342005,20714,168.60891,15538.4968808098,123660,211996,154471,286738,74,189833,616930,32482,10436.6208192198,2980945,34,81.88,85.25,102.32,NA
2022-2023,July,02,ANDHRA PRADESH,0220,PALNADU,5928920,179.167984179391,34,1906,8025.518700818,230,35,36826,5928722,1464671,113772,449625,35202,261.72848,18909.618875818,172788,302550,238661,431639,413,299812,936853,37056,10622.3716950001,3197221,14,80.19,92.95,110.25,NA
2022-2023,July,02,ANDHRA PRADESH,0221,NANDYAL,5199175,203.788050066981,35,1923,9232.896948433,210,35,35903,5199175,1555347,110705,187137,12389,363.55986,20191.754160503,146988,252835,203205,389448,377,281914,913751,36113,10595.29735207,3153404,25,68.32,89.45,100.36,NA
2022-2023,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,7464230,194.260078852924,46,4131,7724.920408127,88,24,49278,7464226,918019,45651,2708307,132558,297.07772,22522.0094414875,161981,279629,189400,368098,2269,207249,525238,49366,14500.0113133605,4381813,71,44.12,87.86,101.3,NA
2022-2023,May,02,ANDHRA PRADESH,0206,KRISHNA,3384489,177.464753352128,28,1894,3035.0672578,352,0,44426,3384489,1314941,112984,43846,4460,170.75346,9212.09577387991,117317,204604,161854,302023,3,209624,626638,44778,6006.27505607992,1806718,25,94.42,94.2,105.02,NA
2022-2023,May,02,ANDHRA PRADESH,0210,CHITTOOR,2640022,204.556598677491,28,1325,4363.120515738,12,30,68889,2639979,844749,102533,84016,11397,184.15739,9947.52915393803,94011,146283,192811,357006,62,251501,839253,68901,5400.25124820003,1593547,67,67.28,73.54,100.37,NA
2022-2023,May,02,ANDHRA PRADESH,0211,Y.S.R,3216236,173.098465987107,29,1712,4204.882776799,29,15,42535,3216104,672724,78873,48372,5166,200.65903,9972.56849534899,110843,171829,189321,351847,39,254905,761647,42564,5567.02668854999,2063001,50,55.56,92.39,100.02,NA
2022-2023,May,02,ANDHRA PRADESH,0215,ANAKAPALLI,5150318,144.51562475839,30,3144,2512.536939941,246,38,24229,5150303,413220,33454,186872,16107,95.93831,10051.4678073411,168171,242879,231358,379378,14,284547,653454,24475,7442.99255740013,3531846,30,30.69,93.8,100.14,NA
2022-2023,May,02,ANDHRA PRADESH,0221,NANDYAL,3853361,155.347558989932,28,1794,3563.599547346,34,35,32631,3853361,1173789,110542,133803,12364,124.02078,9673.72257991603,137344,233077,202456,388220,41,280217,913643,32665,5986.10225257003,2311573,24,71.28,92.85,100.18,NA
2022-2023,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2567640,79.7065828729884,13,4120,5375.944948863,0,51,49518,2567640,276415,60640,173223,38328,21.28534,7443.808393343,186309,245733,375254,660633,0,422411,1025673,49518,2046.57810448,1795788,52,71.17,86.79,100.21,NA
2022-2023,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,489048,132.570704470726,14,945,3298.122412452,17,14,18334,489048,198183,71005,7774,2784,16.12711,3962.583901252,34145,41856,117012,188377,0,178537,516875,18351,648.334378799997,260691,47,59.31,65.8,103.45,NA
2022-2023,April,02,ANDHRA PRADESH,0206,KRISHNA,1177597,143.668577705277,15,1272,2966.650613,6,9,36810,1177597,472795,112748,16280,4428,43.51964,4702.00711400001,75120,125707,161087,300854,0,208540,625397,36816,1691.83686100001,639033,27,93.3,92.77,106.35,NA
2022-2023,April,02,ANDHRA PRADESH,0210,CHITTOOR,999451,176.868549120097,16,838,4306.484827138,4,31,64870,999428,310663,102323,30921,11357,11.31526,6085.473890238,61894,92065,192214,356082,0,250677,839673,64874,1767.6738031,608650,68,70.98,63.56,100.57,NA
2022-2023,April,02,ANDHRA PRADESH,0211,Y.S.R,1220121,134.642143589912,15,1171,4117.462963799,5,18,38874,1220030,263001,78692,19577,5133,21.33507,5781.472578239,78537,114544,188666,350787,0,253808,761733,38879,1642.67454444,795568,53,59.66,89.96,100,NA
2022-2023,April,02,ANDHRA PRADESH,0213,KURNOOL,1910080,133.609055819651,16,1499,2551.267088439,45,48,31465,1910080,427672,101062,12576,6015,76.97484,5180.28178183898,117229,198225,246226,483253,1,306591,987657,31510,2552.03985339998,1052126,45,57.62,93.03,100.24,NA
2022-2023,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1305236,153.161447927712,14,940,3828.604995749,42,7,53371,1305224,29794,9647,1187971,378602,4.55725,5832.262222849,88951,149126,210163,414364,1,232154,634875,53413,1999.0999771,687409,74,77.69,85.2,100.65,NA
2022-2023,April,02,ANDHRA PRADESH,0216,KONASEEMA,344248,143.671534647138,9,1049,2688.759169538,134,3,19284,344242,178412,114649,2950,2101,16.58953,3199.926463838,37408,46946,148785,244065,0,217858,535412,19418,494.5777643,230179,30,80.41,81.4,100.02,NA
2022-2023,April,02,ANDHRA PRADESH,0217,ELURU,1776968,99.3097600019514,14,1779,3515.290364542,74,25,35328,1763031,684845,196433,214482,48645,40.83372,5306.985939402,125198,192726,294029,544799,0,343905,1045414,35402,1750.86185486,1006310,38,85.04,92.03,112.29,NA
2022-2023,April,02,ANDHRA PRADESH,0220,PALNADU,973005,91.002510624478,16,902,4098.478547539,69,40,29659,972989,208947,112943,78084,34819,7.70603,4991.628995639,59548,97359,235372,426865,0,294970,943530,29728,885.444418100002,511834,16,88.29,97.03,114.66,NA
2022-2023,April,02,ANDHRA PRADESH,0221,NANDYAL,1231099,110.39340853985,13,1159,3528.585151146,1,36,27666,1231099,375569,110378,49206,12327,18.89022,4906.52751974601,88158,140873,201844,387221,0,279234,914662,27667,1359.05214860001,732691,27,70.16,88.29,100.19,NA
2022-2023,Jan,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1227008,191.462166980838,47,174,1675.52248278,505,0,4100,1226524,101502,4249,7744,460,648.27147,4672.12338172005,25571,36640,30185,48219,405,37780,74073,4605,2348.32942894005,907036,44,36.1,75.69,100.17,NA
